lesion_voxels,lesion_count,cumulative_count,cumulative_fraction,stratum
9541,1,415,0.7358156028368794,large
9783,1,416,0.7375886524822695,large
9803,1,417,0.7393617021276596,large
9881,1,418,0.7411347517730497,large
9914,1,419,0.7429078014184397,large
9936,1,420,0.7446808510638298,large
10752,1,421,0.7464539007092199,large
10779,1,422,0.74822695035461,large
10845,1,423,0.75,large
10910,1,424,0.75177304964539,large
10930,1,425,0.7535460992907801,large
10937,1,426,0.7553191489361702,large
10960,1,427,0.7570921985815603,large
11757,1,428,0.7588652482269503,large
11967,1,429,0.7606382978723404,large
12114,1,430,0.7624113475177305,large
12824,1,431,0.7641843971631206,large
12974,1,432,0.7659574468085106,large
13097,1,433,0.7677304964539007,large
13223,1,434,0.7695035460992907,large
13314,1,435,0.7712765957446809,large
14154,1,436,0.7730496453900709,large
14156,1,437,0.774822695035461,large
14609,1,438,0.776595744680851,large
15137,1,439,0.7783687943262412,large
15207,1,440,0.7801418439716312,large
15491,1,441,0.7819148936170213,large
15508,1,442,0.7836879432624113,large
15625,1,443,0.7854609929078015,large
15878,1,444,0.7872340425531915,large
15998,1,445,0.7890070921985816,large
16000,1,446,0.7907801418439716,large
16220,1,447,0.7925531914893617,large
16862,1,448,0.7943262411347518,large
17168,1,449,0.7960992907801419,large
17200,1,450,0.7978723404255319,large
17494,1,451,0.799645390070922,large
17626,1,452,0.8014184397163121,large
17941,1,453,0.8031914893617021,large
18208,1,454,0.8049645390070922,large
18278,2,456,0.8085106382978723,large
18377,1,457,0.8102836879432624,large
19332,1,458,0.8120567375886525,large
19484,1,459,0.8138297872340425,large
19610,1,460,0.8156028368794326,large
19995,1,461,0.8173758865248227,large
20127,1,462,0.8191489361702128,large
20159,1,463,0.8209219858156028,large
20208,1,464,0.8226950354609929,large
20431,1,465,0.824468085106383,large
20624,1,466,0.8262411347517731,large
20898,1,467,0.8280141843971631,large
20900,1,468,0.8297872340425532,large
21101,1,469,0.8315602836879432,large
21145,1,470,0.8333333333333334,large
21671,1,471,0.8351063829787234,large
21676,1,472,0.8368794326241135,large
21843,1,473,0.8386524822695035,large
22487,1,474,0.8404255319148937,large
23180,1,475,0.8421985815602837,large
23525,1,476,0.8439716312056738,large
23840,1,477,0.8457446808510638,large
24006,1,478,0.8475177304964538,large
24209,1,479,0.849290780141844,large
24895,1,480,0.851063829787234,large
25085,1,481,0.8528368794326241,large
25238,1,482,0.8546099290780141,large
25439,1,483,0.8563829787234043,large
25922,1,484,0.8581560283687943,large
26232,1,485,0.8599290780141844,large
26239,1,486,0.8617021276595744,large
26393,1,487,0.8634751773049646,large
26852,1,488,0.8652482269503546,large
26928,1,489,0.8670212765957447,large
27264,1,490,0.8687943262411347,large
27471,1,491,0.8705673758865248,large
27541,1,492,0.8723404255319149,large
27740,1,493,0.874113475177305,large
28143,1,494,0.875886524822695,large
28158,1,495,0.8776595744680851,large
28193,1,496,0.8794326241134752,large
28596,1,497,0.8812056737588653,large
29029,1,498,0.8829787234042553,large
30137,1,499,0.8847517730496454,large
30331,1,500,0.8865248226950354,large
30502,1,501,0.8882978723404256,large
30993,1,502,0.8900709219858156,large
31036,1,503,0.8918439716312057,large
31423,1,504,0.8936170212765957,large
31479,1,505,0.8953900709219859,large
31530,1,506,0.8971631205673759,large
31532,1,507,0.898936170212766,large
32176,1,508,0.900709219858156,large
32343,1,509,0.9024822695035462,large
32721,1,510,0.9042553191489362,large
33162,1,511,0.9060283687943262,large
34537,1,512,0.9078014184397163,large
35009,1,513,0.9095744680851063,large
35303,1,514,0.9113475177304965,large
35353,1,515,0.9131205673758865,large
35699,1,516,0.9148936170212766,large
35908,1,517,0.9166666666666666,large
36237,1,518,0.9184397163120568,large
36467,1,519,0.9202127659574468,large
36563,1,520,0.9219858156028369,large
37188,1,521,0.9237588652482269,large
37491,1,522,0.925531914893617,large
37591,1,523,0.9273049645390071,large
38056,1,524,0.9290780141843972,large
38724,1,525,0.9308510638297872,large
38971,1,526,0.9326241134751773,large
38972,1,527,0.9343971631205674,large
39461,1,528,0.9361702127659575,large
40102,1,529,0.9379432624113475,large
42132,1,530,0.9397163120567376,large
42341,1,531,0.9414893617021277,large
42708,1,532,0.9432624113475178,large
42840,1,533,0.9450354609929078,large
44823,1,534,0.9468085106382979,large
46342,1,535,0.9485815602836879,large
46541,1,536,0.950354609929078,large
46584,1,537,0.9521276595744681,large
46894,1,538,0.9539007092198581,large
47114,1,539,0.9556737588652482,large
47122,1,540,0.9574468085106383,large
47352,1,541,0.9592198581560284,large
49738,1,542,0.9609929078014184,large
50077,1,543,0.9627659574468085,large
50410,1,544,0.9645390070921985,large
50835,1,545,0.9663120567375887,large
52126,1,546,0.9680851063829787,large
54056,1,547,0.9698581560283688,large
54612,1,548,0.9716312056737588,large
57620,1,549,0.973404255319149,large
58404,1,550,0.975177304964539,large
58541,1,551,0.9769503546099291,large
60223,1,552,0.9787234042553191,large
60985,1,553,0.9804964539007093,large
61078,1,554,0.9822695035460993,large
62440,1,555,0.9840425531914894,large
63708,1,556,0.9858156028368794,large
66770,1,557,0.9875886524822695,large
68563,1,558,0.9893617021276596,large
68990,1,559,0.9911347517730497,large
78174,1,560,0.9929078014184397,large
79556,1,561,0.9946808510638298,large
84298,1,562,0.9964539007092199,large
87058,1,563,0.99822695035461,large
104056,1,564,1.0,large
